id,question,correct_answer,option1,option2,option3,option4,category,points
530,Which book of Hadith is sometimes called the ''most authentic book after the Quran''?,Sahih Bukhari.,Al Qurtubi,Ibn Majah,Sahih Bukhari.,Sunnah Abi Dawud,Hadith,10
531,"The Prophet (SAW) once prayed, ""O Allah, take easy account of me."" What did the Prophet(SAW) mean by""easy account?""","According to the Prophet(SAW)""easy account'' means that when Allah overlooks the record of a person. ","According to the Prophet(SAW)""easy account'' means that when Allah looks to the record of a person's deeds. He forgive him. One who is asked to give a full account that day will be destroyed.","According to the Prophet(SAW)""easy account'' means that when Allah overlooks the record of a person. ","According to the Prophet(SAW)""easy account'' means that when Allah looks at the record of a person's deeds. He directs Angel Jubril to look at his account mercifully.","According to the Prophet(SAW)""easy account'' means Allah admits into jannah without any account.",Hadith,10
532,"The Prophet(SAW) said , the deeds of people are presented (to Allah) twice a week- on Monday and Thursdays. Allah forgives every believing servant except a certain person, who is that person?","One who keeps malice towards one of his family members. In such a situation. Allah says, '' Leave these two until they reconcile.''","One who keeps malice towards one of his family members. In such a situation. Allah says, '' Leave these two until they reconcile.''","One who keeps malice towards one of his half brothers. In such a situation. Allah says, '' Leave these two until they reconcile.''","One who keeps malice towards one of his blood brothers. In such a situation. Allah says, '' Leave these two until they reconcile.''","One who keeps malice towards one of his believing brothers. In such a situation. Allah says, '' Leave these two until they reconcile.''",Hadith,10
533,"Two books of Hadith are considered ""sahih"" or ''correct''. Name either one of them.",Muslim ,Kitabu sunnah,Nawawi,Qurtubi,Muslim ,Hadith,10
534,"According to a Hadith of the Prohet(SAW), if a stone is thrown into Hell, it will continue to fall in for a certain number of years before it reaches the bottom. Give the number of years the Prophet(SAW) mentioned.",70 years.,170 years.,100 years.,70 years.,50 years.,Hadith,10
535,What advice did the Prophet(SAW) give about choosing one's friends?,"""A person inevitably follows the faith of his friends, therefore, be careful in choosing your friends.''","""A person inevitably follows the life pattern of his friends, therefore, be careful in choosing your friends.''","""A person inevitably follows the faith of his friends, therefore, be careful in choosing your friends.''","""A person inevitably follows the eating habit of his friends, therefore, be careful in choosing your friends.''","""A person inevitably follows the faith of his friends, therefore, be careful in choosing your friends.''",Hadith,10
536,"Which of the following term other than ""sahih"" is/are meant to classify the Hadith. 1. Jami 2. Musnad 3. Sunan, 4. Mustadrak.","1, 2, 3 and 4","1, 2, 3 and 4",1 and 2 only.,3 and 4 only,"1, 3 and 4 only.",Hadith,10
537,How did the Prophet(SAW) characterize this world on the one hand for the believers and on the other hand for the disbelievers?( From a hadith of Abu Hurayrah).,This world is a prison for the believers and a paradise for the disbelievers.,This world is a journey for the believers and a picnic for the disbelievers.,This world is a paradise for the believers and a prison for the disbelievers.,This world is perfect for the believers and skewed for the disbelievers.,This world is a prison for the believers and a paradise for the disbelievers.,Hadith,10
538,"The Prophet(SAW) said, ""When two Muslims confront each other with swords and one of them is killed , both go to Hell."" when asked why one who was killed would go to Hell. What was the Prophet's reply?",""" The one who was killed surely intended to kill his opponent.""",""" The one who was killed surely not a believer other he would have saved from his opponent.""", The one who was killed surely was destined to die in the hands of his opponent.,""" The one who was killed surely intended to kill his opponent.""",None of the above.,Hadith,10
539,A hadith consists of two parts. Name either one of them.,Matn and Isnad or chain of narrators.,Matn and seerah.,Matn and Isnad or chain of narrators.,Isnad or chain of narrators and Balagh.,Matn and rijal al hadith.,Hadith,10
540,Which of the following were five things the Prophet(SAW) cautioned us to take advantage of before it was too late. 1. Your youth before you grow old; 2. Your health before you become sick; 3. Your wealth before you become poor; 4. Your leisure before you become busy; 5. Your life before you die.,"1,2,3,4 and 5.","1,2,3,4 and 5.","1,2,3 and 5 only.","2,3 and 4 only.","1,3,4 and 5 only.",Hadith,10
541,"The Prophet(SAW)  repeaatd three times, ""by Allah, he does not believe."" what was his reply when he was asked. "" who does not believe?"" ","""He whose neighbour does not feel secure from his wrongdoing.""","""He whose does not secure his neighbour properties.""","""He whose neighbour does not pray for.""","""He whose neighbour does not feel secure from his hands.""","""He whose neighbour does not feel secure from his wrongdoing.""",Hadith,10
542,What is a hadith quds or divine hadith?,"A statement attributed by the Prophet Muhammad(SAW) to Allah.(For example, ""Allah says,'I am with My servant when he remembers Me'...)",A statement attributed to the Prophet Muhammad (SAW).,A statement attributed by the companion of the Prophet Muhammad(SAW) to Allah.,"A statement attributed by the Prophet Muhammad(SAW) to Allah.(For example, ""Allah says,'I am with My servant when he remembers Me'...)",A statement attributed by the wives of the Prophet Muhammad(SAW) to Allah.,Hadith,10
543,What did the Prophet (SAW) say was the difference between disbelievers and believers?,The performance of salah (prayers).,The payment of zakah.,The performance of salah (prayers).,The performance of Hajj.,Visiting the sick.,Hadith,10
544,"When the Angel Jibril exhorted the Prophet(SAW) so strongly to honour the rights of neighbours, what did the Prophet(SAW) think?",The Prophet(SAW) thought that he might include them in the category of heirs.,The Prophet(SAW) thought that he might include them in the category of heirs.,The Prophet(SAW) thought that they are next to our parents.,The Prophet(SAW) thought that they are more important than our immediate family.,The Prophet(SAW) thought that they will enter jannah before anyone else.,Hadith,10
545,"Once the Prophet(SAW) told his followers,""if  you have complete trust in Allah, He will provide for you as He does for the birds."" Do you remember the next part of this hadith?","""They leave their nests hungry in the morning and return satisfied in the evening""","""They leave their nests satisfied in the morning and return satisfied in the evening""","""They leave their nests hungry in the morning and return hungry in the evening""","""They leave their nests full in the morning and return hungry in the evening""","""They leave their nests hungry in the morning and return satisfied in the evening""",Hadith,10
546,"According to the Prophet(SAW), what is the first thing for which a person will be judged on the Day of Judgement?",Prayer-salah.,Iman-faith,Zakah-alms giving,Prayer-salah.,Ramadan-fasting,Hadith,10
547,What will happen to that person in the hereafter whose neighbour is not safe from his wrongdoing?,He will not enter Paradise(Based on a hadith related by Muslim),He will enter Paradise after staying in hell for a while.,He will not enter Paradise(Based on a hadith related by Muslim),He will enter Paradise without account.,He will enter Paradise after giving account of his deed.,Hadith,10
548,What part of a building did the Prophet(SAW) compare himself to?,The Prophet(SAW) compared himself to the brick missing from a building which was otherwise complete. ,The Prophet(SAW) compared himself to the brick missing from a building which was otherwise complete. ,The Prophet(SAW) compared himself to the brick missing from Masjid Haram. ,The Prophet(SAW) compared himself to the brick missing from a building in Taif which was incomplete. ,The Prophet(SAW) compared himself to the brick missing from Masjid Al Aqsa. ,Hadith,10
549,Someone asked the Prophet(SAW) which action Allah loved most. What was the Prophet's(SAW) answer?,Prayer-salah at its proper times,Fighting in the course of Allah,Embarking on Hajj,Giving help to the needy,Prayer-salah at its proper times,Hadith,10
550,"What are four failings which, if found in anyone, would show that he was not a true muslim? As Prophet(SAW) said, ""He will not be one of us"". 1. Not being kind to young ones; 2. Not showing respect to elders; 3. not encouraging others to be virtuous; 4. Not stopping others from doing evil.","1,2,3,and 4 only.",1 and 2 only.,1 and 3 only,"1,2,3,and 4 only.","2,3, and 4 only.",Hadith,10
551,Whenever the Prophet(SAW) was worried or faced with a difficult situation what would he do?,He would say prayers of the voluntary kind.,He would pray to Allah to increase the suffering for the benefit therein.,He would say prayers of the voluntary kind.,He would stay away from his wives.,He would make sacrifice to Allah in the haram.,Hadith,10
552,The Prophet(SAW) told parents to instruct their children to offer prayers at a certain age. What age was this?,Seven years.,Seven years.,Ten years.,Eight years.,Five years.,Hadith,10
553,"In the farewell sermon, the Prophet (SAW) made it very clear that in Islam neither is a white superior to a black, nor is an Arab superior to a non-Arab. What criterion did the Prophet (SAW) give of superiorty?",One who is more righteous is more respected in Islam.,One who is more dutiful to parent is more respected in Islam.,One who perseveres more is more respected in Islam.,One who is more prayerful is more respected in Islam.,One who is more righteous is more respected in Islam.,Hadith,10
554,Name the two surahs which the Prophet(SAW) would recite when he was sick.,Surah al-Falaq and surah an-Nas.,Surah Sajda and surah Mulk.,Surah al-Falaq and surah Jinn.,Surah al-Falaq and surah an-Nas.,Surah al-Buruj and surah an-Nas.,Hadith,10
555,To what did the Prophet(SAW) compare the offering of the Isha and Fajr prayers in congregation?,"Offering the Isha prayer in congregation is just like spending half of the night in voluntary prayer, and if the fajr prayer is also offered in congregation, it is just like spending the whole night in voluntary prayer.","Offering the Isha prayer in congregation is just like spending the whole year in voluntary prayer, and if the fajr prayer is also offered in congregation, it is just like spending the whole night in voluntary prayer.","Offering the Isha prayer in congregation is just like spending half of the night in voluntary prayer, and if the fajr prayer is also offered in congregation, it is just like spending the whole night in voluntary prayer.","Offering the Isha prayer in congregation is just like spending half of the one's wealth in Allah's course, and if the fajr prayer is also offered in congregation, it is just like spending the whole night in voluntary prayer.","Offering the Isha prayer in congregation is just like spending half of the night in voluntary prayer, and if the fajr prayer is also offered in congregation, it is just like spending the whole year in voluntary prayer.",Hadith,10
